,,,,,,2,4,16,17,18,20,28,32,40,44,--,--,--,--,--,--,--,--,--,--
"測定回数","経過時間"   ,"時刻　　 "   ,"分圧比率1" ,"分圧比率2" ,"全圧"   ,     1   ,     2   ,     3   ,     4   ,     5   ,     6   ,     7   ,     8   ,     9   ,    10   ,    11   ,    12   ,    13   ,    14   ,    15   ,    16   ,    17   ,    18   ,    19   ,    20   
       9  ,000:00:40.031,2023/4/24  20:32:29:31 ,0.2658228 ,0.0594937 ,1.00E-99 , 2.22E-12, 4.05E-14, 8.59E-12, 7.38E-12, 3.35E-11, 4.12E-10, 6.30E-10, 1.41E-10, 2.37E-09, 1.72E-12, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
      10  ,000:00:45.031,2023/4/24  20:32:34:31 ,0.2649789 ,0.0594937 ,1.00E-99 , 2.20E-12, 3.72E-14, 8.54E-12, 7.14E-12, 3.35E-11, 4.11E-10, 6.28E-10, 1.41E-10, 2.37E-09, 1.64E-12, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
      11  ,000:00:50.062,2023/4/24  20:32:39:62 ,0.2652542 ,0.0597458 ,1.00E-99 , 2.13E-12, 4.21E-14, 8.55E-12, 7.14E-12, 3.24E-11, 4.10E-10, 6.26E-10, 1.41E-10, 2.36E-09, 1.58E-12, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
      12  ,000:00:55.047,2023/4/24  20:32:44:47 ,0.2644068 ,0.0593220 ,1.00E-99 , 2.11E-12, 3.92E-14, 8.52E-12, 6.95E-12, 3.16E-11, 4.09E-10, 6.24E-10, 1.40E-10, 2.36E-09, 1.60E-12, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
      13  ,000:01:00.062,2023/4/24  20:32:49:62 ,0.2651064 ,0.0595745 ,1.00E-99 , 2.14E-12, 3.48E-14, 8.52E-12, 6.82E-12, 3.09E-11, 4.08E-10, 6.23E-10, 1.40E-10, 2.35E-09, 1.50E-12, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
      14  ,000:01:05.062,2023/4/24  20:32:54:62 ,0.2646809 ,0.0595745 ,1.00E-99 , 2.09E-12, 3.48E-14, 8.50E-12, 6.69E-12, 3.04E-11, 4.08E-10, 6.22E-10, 1.40E-10, 2.35E-09, 1.52E-12, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
      15  ,000:01:10.078,2023/4/24  20:32:59:78 ,0.2642553 ,0.0591489 ,1.00E-99 , 2.12E-12, 3.39E-14, 8.48E-12, 6.64E-12, 3.00E-11, 4.07E-10, 6.21E-10, 1.39E-10, 2.35E-09, 1.51E-12, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
      16  ,000:01:15.094,2023/4/24  20:33:4:94 ,0.2645299 ,0.0594017 ,1.00E-99 , 2.12E-12, 3.82E-14, 8.45E-12, 6.53E-12, 2.96E-11, 4.06E-10, 6.19E-10, 1.39E-10, 2.34E-09, 1.50E-12, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
      17  ,000:01:20.094,2023/4/24  20:33:9:94 ,0.2641025 ,0.0594017 ,1.00E-99 , 2.07E-12, 3.47E-14, 8.44E-12, 6.47E-12, 2.93E-11, 4.05E-10, 6.18E-10, 1.39E-10, 2.34E-09, 1.50E-12, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
      18  ,000:01:25.109,2023/4/24  20:33:14:109 ,0.2636752 ,0.0594017 ,1.00E-99 , 2.07E-12, 4.43E-14, 8.41E-12, 6.39E-12, 2.90E-11, 4.04E-10, 6.17E-10, 1.39E-10, 2.34E-09, 1.50E-12, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
