6,000:00:17.531,2022/9/30  14:16:15:531 ,0,0,1.00E-99,5.49E-10,6.18E-13,1.77E-12,4.47E-11,1.47E-12,1.37E-13,1.86E-12,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
7,000:00:21.015,2022/9/30  14:16:19:15 ,0,0,1.00E-99,5.51E-10,6.29E-13,1.76E-12,4.48E-11,1.48E-12,1.48E-13,1.88E-12,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
8,000:00:24.515,2022/9/30  14:16:22:515 ,0,0,1.00E-99,5.52E-10,6.40E-13,1.77E-12,4.48E-11,1.46E-12,1.52E-13,1.83E-12,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
9,000:00:28.015,2022/9/30  14:16:26:15 ,0,0,1.00E-99,5.52E-10,6.52E-13,1.79E-12,4.48E-11,1.49E-12,1.38E-13,1.86E-12,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
10,000:00:31.515,2022/9/30  14:16:29:515 ,0,0,1.00E-99,5.52E-10,6.19E-13,1.79E-12,4.49E-11,1.49E-12,1.33E-13,1.84E-12,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
11,000:00:35.015,2022/9/30  14:16:33:15 ,0,0,1.00E-99,5.53E-10,6.23E-13,1.79E-12,4.49E-11,1.48E-12,1.46E-13,1.87E-12,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
12,000:00:38.515,2022/9/30  14:16:36:515 ,0,0,1.00E-99,5.53E-10,6.23E-13,1.77E-12,4.49E-11,1.49E-12,1.26E-13,1.85E-12,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
13,000:00:42.015,2022/9/30  14:16:40:15 ,0,0,1.00E-99,5.53E-10,6.32E-13,1.82E-12,4.48E-11,1.46E-12,1.21E-13,1.88E-12,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
14,000:00:45.515,2022/9/30  14:16:43:515 ,0,0,1.00E-99,5.53E-10,7.03E-13,1.82E-12,4.49E-11,1.50E-12,1.35E-13,1.88E-12,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
15,000:00:49.015,2022/9/30  14:16:47:15 ,0,0,1.00E-99,5.54E-10,6.50E-13,1.79E-12,4.48E-11,1.47E-12,1.44E-13,1.85E-12,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
16,000:00:52.515,2022/9/30  14:16:50:515 ,0,0,1.00E-99,5.53E-10,6.51E-13,1.80E-12,4.48E-11,1.48E-12,1.56E-13,1.85E-12,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
17,000:00:56.031,2022/9/30  14:16:54:31 ,0,0,1.00E-99,5.53E-10,6.32E-13,1.81E-12,4.48E-11,1.47E-12,1.37E-13,1.90E-12,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
18,000:00:59.515,2022/9/30  14:16:57:515 ,0,0,1.00E-99,5.53E-10,6.82E-13,1.81E-12,4.48E-11,1.48E-12,1.37E-13,1.84E-12,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
19,000:01:03.015,2022/9/30  14:17:1:15 ,0,0,1.00E-99,5.54E-10,6.91E-13,1.82E-12,4.48E-11,1.46E-12,1.37E-13,1.87E-12,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
20,000:01:06.515,2022/9/30  14:17:4:515 ,0,0,1.00E-99,5.54E-10,6.54E-13,1.82E-12,4.47E-11,1.46E-12,1.27E-13,1.85E-12,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
21,000:01:10.015,2022/9/30  14:17:8:15 ,0,0,1.00E-99,5.53E-10,6.22E-13,1.83E-12,4.47E-11,1.49E-12,1.36E-13,1.89E-12,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
22,000:01:13.515,2022/9/30  14:17:11:515 ,0,0,1.00E-99,5.53E-10,6.19E-13,1.85E-12,4.47E-11,1.47E-12,1.51E-13,1.87E-12,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
23,000:01:17.015,2022/9/30  14:17:15:15 ,0,0,1.00E-99,5.52E-10,6.65E-13,1.83E-12,4.47E-11,1.47E-12,1.42E-13,1.87E-12,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
24,000:01:20.515,2022/9/30  14:17:18:515 ,0,0,1.00E-99,5.52E-10,6.81E-13,1.83E-12,4.47E-11,1.47E-12,1.22E-13,1.86E-12,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
25,000:01:24.015,2022/9/30  14:17:22:15 ,0,0,1.00E-99,5.52E-10,6.31E-13,1.82E-12,4.47E-11,1.45E-12,1.22E-13,1.85E-12,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
26,000:01:27.531,2022/9/30  14:17:25:531 ,0,0,1.00E-99,5.52E-10,6.31E-13,1.82E-12,4.46E-11,1.50E-12,1.34E-13,1.85E-12,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
27,000:01:31.031,2022/9/30  14:17:29:31 ,0,0,1.00E-99,5.52E-10,6.93E-13,1.84E-12,4.46E-11,1.46E-12,1.25E-13,1.86E-12,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
28,000:01:34.531,2022/9/30  14:17:32:531 ,0,0,1.00E-99,5.52E-10,6.56E-13,1.83E-12,4.46E-11,1.46E-12,1.13E-13,1.83E-12,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
29,000:01:38.047,2022/9/30  14:17:36:47 ,0,0,1.00E-99,5.51E-10,6.73E-13,1.82E-12,4.45E-11,1.46E-12,1.32E-13,1.87E-12,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
30,000:01:41.562,2022/9/30  14:17:39:562 ,0,0,1.00E-99,5.50E-10,6.62E-13,1.80E-12,4.45E-11,1.46E-12,1.27E-13,1.87E-12,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
31,000:01:45.062,2022/9/30  14:17:43:62 ,0,0,1.00E-99,5.50E-10,6.71E-13,1.81E-12,4.44E-11,1.47E-12,1.35E-13,1.85E-12,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
32,000:01:48.562,2022/9/30  14:17:46:562 ,0,0,1.00E-99,5.50E-10,6.63E-13,1.82E-12,4.44E-11,1.49E-12,1.35E-13,1.85E-12,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
33,000:01:52.078,2022/9/30  14:17:50:78 ,0,0,1.00E-99,5.49E-10,7.00E-13,1.82E-12,4.45E-11,1.46E-12,1.21E-13,1.82E-12,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
34,000:01:55.578,2022/9/30  14:17:53:578 ,0,0,1.00E-99,5.49E-10,6.55E-13,1.80E-12,4.44E-11,1.46E-12,1.29E-13,1.85E-12,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
