6,000:00:37.515,2023/12/19  12:50:1:515 ,113.0681839,0.0121023,1.00E-99,3.45E-10,8.91E-13,5.78E-14,5.94E-14,1.13E-10,4.99E-13,6.13E-14,1.03E-13,3.24E-13,1.55E-12,4.49E-14,1.99E-09,2.13E-13,1.76E-11,1.09E-13,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
7,000:00:45.015,2023/12/19  12:50:9:15 ,181.6513824,0.0204587,1.00E-99,3.46E-10,8.81E-13,6.62E-14,4.11E-14,1.13E-10,4.92E-13,6.12E-14,1.03E-13,3.08E-13,1.55E-12,5.55E-14,1.98E-09,2.23E-13,1.09E-11,7.60E-14,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
8,000:00:52.515,2023/12/19  12:50:16:515 ,288.6297302,0.0327988,1.00E-99,3.47E-10,8.54E-13,6.21E-14,4.93E-14,1.12E-10,4.94E-13,5.94E-14,9.89E-14,2.56E-13,9.46E-13,4.50E-14,1.98E-09,2.25E-13,6.86E-12,7.08E-14,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
9,000:01:00.015,2023/12/19  12:50:24:15 ,441.70401,0.0526906,1.00E-99,3.44E-10,8.76E-13,5.68E-14,5.50E-14,1.12E-10,5.19E-13,7.19E-14,8.00E-14,2.56E-13,6.13E-13,4.63E-14,1.97E-09,2.35E-13,4.46E-12,7.74E-14,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
10,000:01:07.515,2023/12/19  12:50:31:515 ,642.6229248,0.072459,1.00E-99,3.45E-10,8.53E-13,5.86E-14,5.27E-14,1.12E-10,4.63E-13,5.75E-14,8.00E-14,2.87E-13,4.18E-13,4.50E-14,1.96E-09,2.21E-13,3.05E-12,5.13E-14,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
11,000:01:15.015,2023/12/19  12:50:39:15 ,871.1110229,0.1124444,1.00E-99,3.44E-10,8.25E-13,4.29E-14,5.96E-14,1.12E-10,4.87E-13,5.75E-14,8.45E-14,2.32E-13,3.03E-13,3.87E-14,1.96E-09,2.53E-13,2.25E-12,8.09E-14,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
12,000:01:22.515,2023/12/19  12:50:46:515 ,143.3823547,0.1551471,1.00E-99,3.42E-10,8.56E-13,5.93E-14,5.52E-14,1.03E-10,4.87E-13,6.35E-14,1.12E-13,2.16E-13,3.37E-13,4.22E-14,1.95E-09,2.11E-12,1.36E-11,1.06E-13,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
13,000:01:30.015,2023/12/19  12:50:54:15 ,3.8366337,0.25,1.00E-99,3.39E-10,8.25E-13,5.89E-14,5.92E-14,1.03E-10,4.35E-13,2.94E-12,9.79E-14,3.54E-13,3.73E-11,5.31E-14,1.55E-09,1.01E-10,4.04E-10,8.78E-13,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
14,000:01:37.515,2023/12/19  12:51:1:515 ,2.0166667,0.2766667,1.00E-99,3.29E-10,7.54E-13,6.49E-14,5.92E-14,7.39E-11,3.17E-13,9.31E-12,1.10E-13,4.78E-13,7.71E-11,6.62E-14,1.21E-09,1.66E-10,6.00E-10,1.23E-12,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
15,000:01:45.015,2023/12/19  12:51:9:15 ,1.8793104,0.3086207,1.00E-99,3.28E-10,7.95E-13,6.49E-14,3.87E-14,6.31E-11,2.84E-13,1.15E-11,1.13E-13,5.45E-13,8.20E-11,4.85E-14,1.09E-09,1.79E-10,5.80E-10,1.25E-12,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
